任务号,IP,Ping丢包率
20181207063755,192.168.213.128,0
20181207063755,192.168.213.128,0
20181207063755,192.168.213.128,0
20181207063755,192.168.213.128,0
20181207063755,192.168.213.128,0
20181207063755,192.168.213.128,0
20181207063755,192.168.213.128,0
20181207063755,192.168.213.128,0
20181207063755,192.168.213.129,100
20181207063755,192.168.213.129,100

























































































